"","comments"
"1","Get a chance to win a <U+20B9>500 Amazon Gift Voucher.
1. Watch this video
2. Hit like and subscribe button
3. Comment the name of water sport shown in the video

3 lucky winners get <U+20B9>500 Amazon Gift Voucher each."
"2","beautiful video"
"3","For group package what the price of package"
"4","Everything is ok with Andaman Nicobor. Only problem with network issue and hotel check out time. It's morning 8 o'clock. <U+0001F62D><U+0001F62D>"
"5","I am IPS officer in andaman and nicobar it is very beautiful place"
"6","I am from Garacharma, Port Blair, Andaman & Nicobar Islands, I am proud to be the Islander!!!!"
"7","Tour package rate ??"
"8","what an amazing vedio it is can you guys tell me what are all the places we can go in andaman &nicobar"
"9","Scuba diving #thrillophilia"
"10","Scuba diving #thrillophilia 
Amazing vedio....."
"11","Scuba Diving
#thrillophilia"
"12","Scuba diving  #thrillophilia"
"13","what an exciting  video it iss. you people have captured one of the best places of Andaman and Nicobar. I am planning a trip to Andaman  this summer. I hope you guys will assisit me in that. What are the different tour packages for one week in Andaman and Nicobar......"
"14","Pretyyy much a impresive vedio. After watching this vedio i have question for you guys. how much is the scuba diving pacakge cost??"
"15","Amazing Video, I want to opt a package for Andaman with scuba diving. Can you please tell me the price?"
"16","Do you have any honeymoon packages? I want to visit Andaman in Feb."
"17","I am so excited to visit this destination after watching this video... I am waiting."
"18","Scuba diving......... great <U+0001F525>"
"19","Nice video, <U+0001F60D><U+0001F60D> Andaman is totally in my 2020 bucket list"
"20","Certainly very thrilling. I had similar experience during my Scuba Diving course in Andamans, India! 
. And here's something I have created around my experience... would appreciate if you find time to leave your feedback. https://youtu.be/htjZsBKhwd8"
"21","The water sport is Snorkelling !!!!"
"22","Hello team Thrillophilia, its a scuba diving thats shown in the video"
"23","Underwater diving"
"24","Best Travel Experience with #thrillophilia
Water Sports is Scuba diving."
"25","scuba diving"
"26","I have always wanted to visit the Andaman and Nicobar Islands, but could never plan the trip properly. Now I know whom to contact.
Water sport: Scuba Diving.
#thrillophilia"
"27","Scuba diving <U+0001F60D>"
"28","Scooba diving <U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A>"
"29","I want 500 amzon viucher scooba diving"
"30","Scuba diving!"
"31","Scuba diving"
