"","kind","etag","id","contentDetails.videoId","contentDetails.videoPublishedAt"
"items1","youtube#playlistItem","4L6SIShY4c1HlT0eDxO5iD0hXX0","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjU2QjQ0RjZEMTA1NTdDQzY=","5CtbYRLZVRc","2020-01-15T11:30:13Z"
"items2","youtube#playlistItem","suIAZsBk4XXsAlr568aNPt2MSS0","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjI4OUY0QTQ2REYwQTMwRDI=","jBIybW7evug","2019-12-06T12:42:21Z"
"items3","youtube#playlistItem","XwZW8MsSX2qMWr2knuL6Yk8DSms","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjAxNzIwOEZBQTg1MjMzRjk=","Kjybjru-Igs","2019-12-05T11:45:01Z"
"items4","youtube#playlistItem","1DiNsp42o1jaKVylwtaFyuUHm6k","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjUyMTUyQjQ5NDZDMkY3M0Y=","XamSMQ43uS8","2019-12-04T11:45:00Z"
"items5","youtube#playlistItem","XTOCSvQ5WqL7RGcnm9F2JMWkk3Y","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjA5MDc5NkE3NUQxNTM5MzI=","Rl03Uf1-OjY","2019-12-03T08:00:03Z"
"items6","youtube#playlistItem","Yom8PYbP7j6kJbjcMsizNjmMWJw","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjEyRUZCM0IxQzU3REU0RTE=","gl6NRvbCUp4","2019-11-29T11:30:06Z"
"items7","youtube#playlistItem","xqGoXdKsCG8kn1OGWyARkIWU5XM","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjUzMkJCMEI0MjJGQkM3RUM=","nz9KxFqonpU","2019-11-29T07:30:02Z"
"items8","youtube#playlistItem","V09M70qbtVtFtPMe5AUgJRUrIFY","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LkNBQ0RENDY2QjNFRDE1NjU=","OKZFHo5p4VA","2019-11-28T11:30:00Z"
"items9","youtube#playlistItem","5qBYH3gPhVY6wlcts66lnzlHLGA","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3Ljk0OTVERkQ3OEQzNTkwNDM=","dLRwvCvSck4","2019-11-28T07:30:01Z"
"items10","youtube#playlistItem","E55dlA2EKPNw1ApVzHGXXa7ajoc","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LkY2M0NENEQwNDE5OEIwNDY=","jtvc4-EOYtk","2019-11-27T12:00:08Z"
"items11","youtube#playlistItem","L1ysm6GjRd98qlQhv-9K4IhidlI","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjQ3NkIwREMyNUQ3REVFOEE=","GtUnxxVC1CY","2019-11-27T07:45:02Z"
"items12","youtube#playlistItem","xI7zzrlhrgGp3ERKt4vIah6EHIs","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LkQwQTBFRjkzRENFNTc0MkI=","GMLCw_cA2Eg","2019-11-26T12:15:00Z"
"items13","youtube#playlistItem","TX1TLuR93Oe4_VPRQ5Xvx6RhzMk","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3Ljk4NEM1ODRCMDg2QUE2RDI=","ZRHbKBTYot8","2019-11-26T07:30:01Z"
"items14","youtube#playlistItem","r3sZ7bdZS18P-Vfy-wAlp3HyDRo","VVU4TWJSUVFkWWhOd09GZVhtcEs1VUJ3LjMwODkyRDkwRUMwQzU1ODY=","IqYIxQrFrUg","2019-11-22T08:05:36Z"
